標的名稱,時間,市佔率,成長率,金額,象限(BCG矩陣)
F-泰鼎,2019-04,0.36,352.77,276172.80,II(問號)
M31,2019-04,0.42,20.93,319072.00,III(瘦狗)
力旺,2019-04,1.79,19.41,1355418.00,IV(金牛)
力達-KY,2019-04,0.03,0,23762.90,III(瘦狗)
上海商銀,2019-04,0.02,-43.75,21912.00,III(瘦狗)
上詮,2019-04,0.15,70.91,119211.10,II(問號)
上銀,2019-04,0.42,937.32,323740.186,II(問號)
上緯投控,2019-04,0.23,4.34,175869.50,III(瘦狗)
大立光,2019-04,8.51,-1.76,6414135.60,IV(金牛)
大成鋼,2019-04,0.02,-3.52,18417.00,III(瘦狗)
大江,2019-04,0.65,16.1,491671.252,IV(金牛)
大車隊,2019-04,0.02,-0.46,22579.20,III(瘦狗)
大聯大,2019-04,0.06,1.36,50122.50,III(瘦狗)
中信金,2019-04,0.29,1.42,225004.867,III(瘦狗)
中華電,2019-04,0.65,-13.67,490864.20,IV(金牛)
中鴻,2019-04,0.01,0,9471.00,III(瘦狗)
元大金,2019-04,0,0,4403.40,III(瘦狗)
元大滬深300單日正向2倍基金,2019-04,0.02,0,19471.32,III(瘦狗)
元太,2019-04,0.44,79.18,336171.10,II(問號)
元翎,2019-04,0.03,-52.54,23050.50,III(瘦狗)
六角,2019-04,0.01,12.62,8316.00,III(瘦狗)
友達,2019-04,0.06,29.7,48608.95,III(瘦狗)
日友,2019-04,0.26,-7.32,201458.00,III(瘦狗)
日月光投控,2019-04,1.14,193.03,862631.017,I(明星)
世禾,2019-04,0.02,0,15427.50,III(瘦狗)
世界,2019-04,0.68,8.22,513270.50,IV(金牛)
可成,2019-04,0.03,37.98,26161.50,II(問號)
台中銀,2019-04,0,-13.28,6229.02,III(瘦狗)
台化,2019-04,0.45,-41.58,345727.26,III(瘦狗)
台光電,2019-04,0.31,-64.85,237286.40,III(瘦狗)
台泥,2019-04,0.13,-82.86,99264.648,III(瘦狗)
台表科,2019-04,0.47,3.56,361401.70,III(瘦狗)
台郡,2019-04,0.47,564.18,358723.80,II(問號)
台塑,2019-04,1.5,-8.27,1132409.264,IV(金牛)
台塑化,2019-04,0.52,37.87,395279.19,I(明星)
台達電,2019-04,2.37,-6.03,1790036.788,IV(金牛)
台積電,2019-04,13.17,5.47,9926351.638,IV(金牛)
台燿,2019-04,4.3,5.24,3244162.50,IV(金牛)
台灣大,2019-04,0.13,189.46,103282.00,II(問號)
台灣高鐵,2019-04,0.18,13.67,138894.40,III(瘦狗)
巨大,2019-04,0.21,3.85,160846.50,III(瘦狗)
永冠-KY,2019-04,0.34,125.05,257028.20,II(問號)
玉山金,2019-04,0.25,22.27,192689.583,III(瘦狗)
玉晶光,2019-04,0.05,-79.66,39154.50,III(瘦狗)
立端,2019-04,0.73,6.01,556371.084,IV(金牛)
立積,2019-04,0.01,0,12232.00,III(瘦狗)
兆豐金,2019-04,0.73,7.63,554850.175,IV(金牛)
先豐,2019-04,0.02,0,21807.50,III(瘦狗)
全家,2019-04,0.01,-0.89,13923.00,III(瘦狗)
全新,2019-04,0.02,-48.91,17555.20,III(瘦狗)
同欣電,2019-04,0.64,87.95,486910.00,I(明星)
合晶,2019-04,0.03,5.82,22688.05,III(瘦狗)
宇峻奧汀,2019-04,0,0,6413.045,III(瘦狗)
旭隼,2019-04,0.01,0.99,7930.00,III(瘦狗)
百和,2019-04,0.23,18.78,174182.40,III(瘦狗)
宏觀,2019-04,0.38,-8.62,293795.00,III(瘦狗)
志聖,2019-04,0.03,0,25612.50,III(瘦狗)
技嘉,2019-04,0.1,1.12,80929.50,III(瘦狗)
良維,2019-04,0.28,52.17,212475.90,II(問號)
邦特生技,2019-04,0.4,-11.28,304455.50,III(瘦狗)
亞泥,2019-04,0.06,64.38,46801.75,II(問號)
亞德客-KY,2019-04,0.06,0,47792.00,III(瘦狗)
京元電子,2019-04,0.03,-57.03,26054.60,III(瘦狗)
京鼎,2019-04,0.39,19.48,295724.00,III(瘦狗)
佳世達,2019-04,0.02,-11.13,20534.25,III(瘦狗)
和大,2019-04,0.03,-0.88,24525.00,III(瘦狗)
和泰車,2019-04,0,0,6538.00,III(瘦狗)
奇力新,2019-04,0.35,0,269581.586,III(瘦狗)
奇鋐,2019-04,0.61,771.69,465064.80,I(明星)
易華電,2019-04,0.39,12.14,295783.00,III(瘦狗)
昇達科,2019-04,0.05,122.4,39999.00,II(問號)
朋程,2019-04,0.06,-2.64,47192.50,III(瘦狗)
東陽,2019-04,0.04,116.9,36029.70,II(問號)
杰力,2019-04,0.03,-8.65,30115.00,III(瘦狗)
欣銓,2019-04,0.21,11.05,162048.00,III(瘦狗)
欣興,2019-04,0.91,-48.24,689034.45,IV(金牛)
牧德,2019-04,0.2,-25.43,153426.00,III(瘦狗)
矽力-KY,2019-04,0.21,-63.63,161414.00,III(瘦狗)
矽創,2019-04,0.85,-28.31,646430.00,IV(金牛)
長虹,2019-04,0.05,-3.33,40890.00,III(瘦狗)
長榮航,2019-04,0.59,-5.42,451382.569,IV(金牛)
信邦,2019-04,0.1,190.28,79316.684,II(問號)
信驊,2019-04,0.18,-9.06,137388.00,III(瘦狗)
南亞,2019-04,0.07,-6.48,56117.974,III(瘦狗)
南亞科,2019-04,0.16,115.31,122952.00,II(問號)
南茂,2019-04,0.09,-0.55,71346.198,III(瘦狗)
南電,2019-04,0.43,-25.43,328057.50,III(瘦狗)
南寶,2019-04,0.06,16.01,51680.00,III(瘦狗)
威剛,2019-04,0.01,0,12000.00,III(瘦狗)
宣得,2019-04,0.18,0,136085.40,III(瘦狗)
柏文,2019-04,0.1,-44.13,81350.603,III(瘦狗)
為升,2019-04,0.18,55.67,136841.27,II(問號)
美利達,2019-04,1.11,69.05,841500.00,I(明星)
美律,2019-04,1.76,27.21,1330268.582,IV(金牛)
致伸,2019-04,0.74,324.15,561784.80,I(明星)
致茂,2019-04,0.45,29.93,345297.50,III(瘦狗)
英業達,2019-04,0.18,0,141484.00,III(瘦狗)
倉和,2019-04,0.01,0,11780.00,III(瘦狗)
原相,2019-04,0.01,0,9870.00,III(瘦狗)
振曜,2019-04,0.02,-47.9,17120.00,III(瘦狗)
泰博,2019-04,0.01,-8.63,8903.00,III(瘦狗)
泰碩,2019-04,0.06,0,52576.00,III(瘦狗)
神盾,2019-04,0.94,78.57,713545.00,I(明星)
耕興,2019-04,0.09,-9.72,74996.877,III(瘦狗)
高技,2019-04,0.19,1.44,143250.00,III(瘦狗)
"健策  ",2019-04,0.31,-62.7,238446.00,III(瘦狗)
健鼎,2019-04,0.04,-46.77,30560.10,III(瘦狗)
國泰金,2019-04,0.05,-65.85,39649.079,III(瘦狗)
崑鼎投控,2019-04,0.01,-1.05,12155.00,III(瘦狗)
強茂,2019-04,0.01,0,11478.40,III(瘦狗)
啟碁,2019-04,0.07,-72.56,55968.56,III(瘦狗)
祥碩,2019-04,1.15,-26.29,871825.488,IV(金牛)
第一金,2019-04,0.03,4.5,24045.988,III(瘦狗)
統一,2019-04,0.16,-19.23,122760.179,III(瘦狗)
統一超,2019-04,0.13,-19.63,105120.00,III(瘦狗)
創意,2019-04,0.59,63.63,450595.00,I(明星)
勝麗國際,2019-04,0.05,-28.29,43276.00,III(瘦狗)
博大,2019-04,0.02,59.25,15651.75,II(問號)
富邦中國ETF傘型基金之富邦上証180單日正向兩倍基金,2019-04,0.02,0,19320.14,III(瘦狗)
富邦金,2019-04,0.12,-0.86,96167.801,III(瘦狗)
復盛應用,2019-04,0.22,4.77,172142.00,III(瘦狗)
揚明光,2019-04,0.01,-88.16,11293.00,III(瘦狗)
敦泰,2019-04,0.02,-30.85,18862.50,III(瘦狗)
敦陽科,2019-04,0.05,-4.91,42075.00,III(瘦狗)
晶焱,2019-04,0.01,-56.07,12113.70,III(瘦狗)
智伸科,2019-04,0.02,-8.19,17920.00,III(瘦狗)
智邦,2019-04,5.67,17.24,4276233.00,IV(金牛)
智易,2019-04,0.03,-73.25,24053.60,III(瘦狗)
智原,2019-04,0.56,10.78,426389.30,IV(金牛)
森鉅,2019-04,0.02,3.03,15640.00,III(瘦狗)
華固,2019-04,0.1,94.44,82735.60,II(問號)
華新科,2019-04,0.21,-12.6,162657.369,III(瘦狗)
華碩,2019-04,0.02,0,17228.00,III(瘦狗)
貿聯-KY,2019-04,0.06,-87.45,45372.00,III(瘦狗)
超眾,2019-04,0.18,0,143071.00,III(瘦狗)
順德,2019-04,0.4,-10,307560.00,III(瘦狗)
鈊象電子,2019-04,0.78,108.87,588032.00,I(明星)
微星,2019-04,0.13,-1.04,101008.00,III(瘦狗)
新日興,2019-04,0.55,38.72,419240.00,I(明星)
新唐,2019-04,0.09,-50.29,70756.00,III(瘦狗)
新普,2019-04,2.46,-6.72,1858890.00,IV(金牛)
瑞昱,2019-04,1.43,44.34,1082620.00,I(明星)
瑞儀,2019-04,0.02,5.47,17784.00,III(瘦狗)
群光,2019-04,0.08,24.73,67378.94,III(瘦狗)
群電,2019-04,0.03,-35.69,25850.00,III(瘦狗)
群聯,2019-04,0.3,-18.88,229785.50,III(瘦狗)
葡萄王,2019-04,0.07,63.72,60274.50,II(問號)
裕融,2019-04,0.03,112.76,28990.50,II(問號)
達興材料,2019-04,0.04,-11.75,31830.89,III(瘦狗)
鼎翰,2019-04,0.05,4.09,39054.00,III(瘦狗)
鈺齊-KY,2019-04,0.22,0.19,167283.749,III(瘦狗)
頎邦,2019-04,1.05,-18.38,796670.00,IV(金牛)
嘉澤,2019-04,0.75,-79.74,572239.335,IV(金牛)
漢平,2019-04,0.02,-5.36,15597.45,III(瘦狗)
漢唐,2019-04,0.01,0,9625.00,III(瘦狗)
漢翔,2019-04,0.02,-3.53,20440.20,III(瘦狗)
碩天,2019-04,0.03,5.87,26129.00,III(瘦狗)
福懋,2019-04,0,-33.83,6183.50,III(瘦狗)
精測,2019-04,0.03,0,27445.50,III(瘦狗)
網龍,2019-04,0.01,2.49,12784.50,III(瘦狗)
聚陽,2019-04,1.5,-26.39,1130817.00,IV(金牛)
遠東新,2019-04,0.29,53.28,223801.70,II(問號)
遠東銀,2019-04,0,0,5511.824,III(瘦狗)
遠傳,2019-04,0,2.01,6822.00,III(瘦狗)
億豐,2019-04,0.48,-48.82,362758.00,III(瘦狗)
劍麟,2019-04,0.01,-3.41,14348.10,III(瘦狗)
廣宇,2019-04,0.02,0,15810.00,III(瘦狗)
廣明,2019-04,0.08,0,61912.00,III(瘦狗)
廣越,2019-04,0.02,0,21038.00,III(瘦狗)
廣隆,2019-04,0.01,-44.35,12956.00,III(瘦狗)
廣達,2019-04,0.68,-11.06,514684.80,IV(金牛)
緯軟,2019-04,0.54,-2.51,412884.381,IV(金牛)
緯創,2019-04,0.03,174.2,27033.60,II(問號)
緯穎,2019-04,0.17,446.07,128600.00,II(問號)
儒鴻,2019-04,1.82,9.77,1377949.76,IV(金牛)
璟德,2019-04,0.2,0,155000.00,III(瘦狗)
臻鼎-KY,2019-04,1.42,70.39,1071850.00,I(明星)
興富發,2019-04,0.05,-13.7,40549.00,III(瘦狗)
錸德,2019-04,0.21,-6.32,164802.915,III(瘦狗)
環球晶圓,2019-04,1.14,237.5,859013.00,I(明星)
聯合,2019-04,0.04,41.51,34869.802,II(問號)
聯亞,2019-04,0.01,-2.3,13248.00,III(瘦狗)
聯茂,2019-04,2.2,95.7,1657901.00,I(明星)
聯發科,2019-04,2.23,-5.72,1684048.886,IV(金牛)
聯詠,2019-04,2.95,-26.05,2226373.50,IV(金牛)
鴻海,2019-04,1.54,306.56,1163919.047,I(明星)
鴻碩,2019-04,0.03,-0.18,22926.112,III(瘦狗)
豐泰,2019-04,0.19,-46.4,149799.00,III(瘦狗)
豐祥-KY,2019-04,0.11,541.76,86856.00,II(問號)
醫揚,2019-04,0.02,0,17799.00,III(瘦狗)
雙鴻,2019-04,1.62,33.89,1226087.50,I(明星)
瀚宇博,2019-04,0.02,0,21778.20,III(瘦狗)
穩懋,2019-04,1.32,-4.07,1000431.00,IV(金牛)
藥華藥,2019-04,0.04,-11.18,31746.00,III(瘦狗)
譜瑞-KY,2019-04,2.12,-5.99,1601426.00,IV(金牛)
麗豐-KY,2019-04,0.05,-14.09,37950.00,III(瘦狗)
寶一,2019-04,0.01,-1.93,9436.50,III(瘦狗)
寶雅,2019-04,0.19,578.46,143433.50,II(問號)
寶齡富錦,2019-04,0.02,-67.27,22195.00,III(瘦狗)
F-金可,2019-03,0.06,188.38,47998.00,II(問號)
F-泰鼎,2019-03,0.08,5.99,60995.35,III(瘦狗)
M31,2019-03,0.34,8.95,263848.00,III(瘦狗)
力山,2019-03,0.21,-46.49,159967.50,III(瘦狗)
力旺,2019-03,1.5,11.48,1135050.00,IV(金牛)
上海商銀,2019-03,0.05,-64.68,38960.00,III(瘦狗)
上詮,2019-03,0.09,0,69750.00,III(瘦狗)
上銀,2019-03,0.04,-84.54,31208.58,III(瘦狗)
上緯投控,2019-03,0.22,487.04,168540.00,II(問號)
大立光,2019-03,8.64,19.01,6529166.40,IV(金牛)
大成鋼,2019-03,0.02,66.86,19089.00,II(問號)
大江,2019-03,0.56,-61.44,423463.496,IV(金牛)
大車隊,2019-03,0.03,0.94,22685.04,III(瘦狗)
大聯大,2019-03,0.06,0,49446.00,III(瘦狗)
川湖,2019-03,0.13,22.22,102363.00,III(瘦狗)
中信金,2019-03,0.29,-56.59,221852.397,III(瘦狗)
中租-KY,2019-03,0.06,495.04,45360.00,II(問號)
中華電,2019-03,0.75,-13.99,568655.40,IV(金牛)
中裕,2019-03,0.1,-55.29,80808.00,III(瘦狗)
中鼎,2019-03,0.05,-0.41,39072.00,III(瘦狗)
中鋼,2019-03,0.07,-15.33,55634.70,III(瘦狗)
元大台灣50單日反向1倍基金,2019-03,0.3,70.72,231250.50,II(問號)
元太,2019-03,0.24,-54.16,187611.00,III(瘦狗)
元翎,2019-03,0.06,0,48577.30,III(瘦狗)
六角,2019-03,0,0,7383.60,III(瘦狗)
友達,2019-03,0.04,22.29,37477.70,III(瘦狗)
日友,2019-03,0.28,-20.85,217382.00,III(瘦狗)
日月光投控,2019-03,0.38,1284.18,294375.33,II(問號)
世界,2019-03,0.62,-49.93,474278.00,IV(金牛)
可成,2019-03,0.02,0,18960.00,III(瘦狗)
台中銀,2019-03,0,-46.47,7182.969,III(瘦狗)
台化,2019-03,0.78,81.69,591881.92,I(明星)
台半,2019-03,0.06,1.26,47770.00,III(瘦狗)
台光電,2019-03,0.89,6.5,675103.50,IV(金牛)
台泥,2019-03,0.76,-36.3,579209.565,IV(金牛)
台肥,2019-03,0.01,-17.61,14198.80,III(瘦狗)
台表科,2019-03,0.46,-35.39,348950.70,III(瘦狗)
台郡,2019-03,0.07,-53.17,54009.60,III(瘦狗)
台塑,2019-03,1.63,21.88,1234579.322,IV(金牛)
台塑化,2019-03,0.37,-29.57,286696.41,III(瘦狗)
台達電,2019-03,2.52,-2.77,1905076.149,IV(金牛)
台積電,2019-03,12.46,-0.08,9411409.933,IV(金牛)
台燿,2019-03,4.08,17.03,3082359.00,IV(金牛)
台灣大,2019-03,0.04,-77.66,35680.00,III(瘦狗)
台灣高鐵,2019-03,0.16,-11.94,122184.00,III(瘦狗)
巨大,2019-03,0.2,14.36,154880.00,III(瘦狗)
正崴,2019-03,0.03,0,29988.00,III(瘦狗)
永冠-KY,2019-03,0.15,503.5,114208.00,II(問號)
玉山金,2019-03,0.2,-4.09,157585.217,III(瘦狗)
玉晶光,2019-03,0.25,-62.93,192507.00,III(瘦狗)
由田,2019-03,0.13,0,103740.00,III(瘦狗)
立端,2019-03,0.69,9.23,524811.986,IV(金牛)
光隆,2019-03,0.03,6.53,26406.00,III(瘦狗)
光磊,2019-03,0,0,7125.00,III(瘦狗)
兆豐金,2019-03,0.68,-15.57,515512.10,IV(金牛)
全家,2019-03,0.01,-63.89,14049.00,III(瘦狗)
全新,2019-03,0.04,-66,34366.40,III(瘦狗)
同欣電,2019-03,0.34,-3.93,259060.50,III(瘦狗)
合晶,2019-03,0.02,-95.66,21438.90,III(瘦狗)
旭隼,2019-03,0.01,5.41,7852.00,III(瘦狗)
旭軟,2019-03,0.04,2.06,33067.30,III(瘦狗)
百和,2019-03,0.19,1159.11,146636.80,II(問號)
至上,2019-03,0,0,6845.20,III(瘦狗)
佐登-KY,2019-03,0.01,-78.41,12150.00,III(瘦狗)
利勤,2019-03,0.02,0,22557.00,III(瘦狗)
宏觀,2019-03,0.42,3.48,321536.00,III(瘦狗)
技嘉,2019-03,0.1,157.05,80033.00,II(問號)
良維,2019-03,0.18,0,139629.60,III(瘦狗)
邦特生技,2019-03,0.45,25.05,343200.00,III(瘦狗)
亞泥,2019-03,0.03,-18.46,28471.00,III(瘦狗)
京元電子,2019-03,0.08,-72.05,60637.50,III(瘦狗)
京鼎,2019-03,0.32,-12.5,247500.00,III(瘦狗)
佳世達,2019-03,0.03,-17.05,23107.50,III(瘦狗)
和大,2019-03,0.03,-5.41,24743.00,III(瘦狗)
奇鋐,2019-03,0.07,62.11,53352.00,II(問號)
宜鼎,2019-03,0.01,0,9036.00,III(瘦狗)
拓凱,2019-03,0.04,0,31040.00,III(瘦狗)
易華電,2019-03,0.34,1.78,263755.00,III(瘦狗)
昇達科,2019-03,0.02,-43.72,17985.00,III(瘦狗)
朋程,2019-03,0.06,7.89,48477.00,III(瘦狗)
東元,2019-03,0.02,0,15498.00,III(瘦狗)
東陽,2019-03,0.02,0,16611.00,III(瘦狗)
杰力,2019-03,0.04,-55.44,32968.00,III(瘦狗)
欣銓,2019-03,0.19,-21.16,145920.00,III(瘦狗)
欣興,2019-03,1.76,92.11,1331319.20,I(明星)
牧德,2019-03,0.27,-79.94,205755.00,III(瘦狗)
矽力-KY,2019-03,0.58,19.05,443900.00,IV(金牛)
矽創,2019-03,1.19,64.33,901779.50,I(明星)
長虹,2019-03,0.05,3.56,42300.00,III(瘦狗)
長榮航,2019-03,0.63,4.87,477254.058,IV(金牛)
信邦,2019-03,0.03,29.45,27324.00,III(瘦狗)
信驊,2019-03,0.2,-68.9,151084.00,III(瘦狗)
南亞,2019-03,0.07,-2.64,60006.606,III(瘦狗)
南亞科,2019-03,0.07,-21.6,57102.00,III(瘦狗)
南茂,2019-03,0.09,175.64,71742.805,II(問號)
南電,2019-03,0.58,43.2,439950.60,I(明星)
南寶,2019-03,0.05,307.95,44545.00,II(問號)
威盛,2019-03,0,0,7182.00,III(瘦狗)
柏文,2019-03,0.19,-26.99,145624.166,III(瘦狗)
為升,2019-03,0.11,-32.12,87900.00,III(瘦狗)
研華,2019-03,0.02,36.17,19200.00,II(問號)
美利達,2019-03,0.65,18,497768.00,IV(金牛)
美律,2019-03,1.38,13.72,1045647.447,IV(金牛)
美時製藥,2019-03,0.83,-20.48,627183.00,IV(金牛)
致伸,2019-03,0.17,26.28,132447.40,III(瘦狗)
致茂,2019-03,0.35,83.24,265751.00,II(問號)
茂達,2019-03,0.13,2.19,102141.019,III(瘦狗)
振曜,2019-03,0.04,108,32865.00,II(問號)
泰博,2019-03,0.01,-93.91,9744.00,III(瘦狗)
神盾,2019-03,0.52,119.92,399582.00,I(明星)
神基,2019-03,0.01,0,12850.00,III(瘦狗)
耕興,2019-03,0.11,-10.38,83076.011,III(瘦狗)
高技,2019-03,0.18,0,141210.00,III(瘦狗)
"健策  ",2019-03,0.84,-30.29,639400.00,IV(金牛)
健鼎,2019-03,0.07,-22.73,57411.50,III(瘦狗)
國泰金,2019-03,0.15,-1.53,116122.571,III(瘦狗)
崇友,2019-03,0.16,-6.25,121667.10,III(瘦狗)
崑鼎投控,2019-03,0.01,4.12,12285.00,III(瘦狗)
"康控-KY ",2019-03,0.35,0,270733.00,III(瘦狗)
啟碁,2019-03,0.27,198.84,204028.227,II(問號)
眾達-KY,2019-03,0.01,0,12809.70,III(瘦狗)
祥碩,2019-03,1.56,-5.54,1182877.22,IV(金牛)
第一金,2019-03,0.03,-90.31,23009.993,III(瘦狗)
統一,2019-03,0.2,-26.47,151993.60,III(瘦狗)
統一超,2019-03,0.17,100.34,130808.50,II(問號)
創意,2019-03,0.36,-18.42,275370.00,III(瘦狗)
勝麗國際,2019-03,0.07,-23.23,60356.00,III(瘦狗)
博大,2019-03,0.01,0,9828.00,III(瘦狗)
富邦金,2019-03,0.12,1.09,97011.378,III(瘦狗)
復盛應用,2019-03,0.21,0,164304.00,III(瘦狗)
揚明光,2019-03,0.12,0,95453.50,III(瘦狗)
敦泰,2019-03,0.03,0,27280.00,III(瘦狗)
敦陽科,2019-03,0.05,0,44250.00,III(瘦狗)
晶宏,2019-03,0.09,50.27,70423.70,II(問號)
晶焱,2019-03,0.03,5.98,27576.60,III(瘦狗)
智伸科,2019-03,0.02,-56.21,19520.00,III(瘦狗)
智邦,2019-03,4.82,43.86,3647227.50,I(明星)
智易,2019-03,0.11,-27.18,89938.00,III(瘦狗)
智原,2019-03,0.5,-28.49,384867.45,IV(金牛)
森鉅,2019-03,0.02,3.4,15180.00,III(瘦狗)
華固,2019-03,0.05,-59.91,42550.00,III(瘦狗)
華夏,2019-03,0.02,-3.81,20997.50,III(瘦狗)
華泰,2019-03,0.02,0,21973.80,III(瘦狗)
華新科,2019-03,0.24,399.17,186124.20,II(問號)
貿聯-KY,2019-03,0.47,10.7,361729.085,III(瘦狗)
雲品,2019-03,0.02,3.53,20543.60,III(瘦狗)
順德,2019-03,0.45,-31.47,341770.00,III(瘦狗)
鈊象電子,2019-03,0.37,17.73,281520.00,III(瘦狗)
勤誠,2019-03,0.01,0,12145.00,III(瘦狗)
微星,2019-03,0.13,-15.28,102070.00,III(瘦狗)
新日興,2019-03,0.4,153.79,302220.00,II(問號)
新唐,2019-03,0.18,2.39,142346.40,III(瘦狗)
新普,2019-03,2.63,74.79,1992944.00,I(明星)
瑞昱,2019-03,0.99,20.38,750022.00,IV(金牛)
瑞儀,2019-03,0.02,-59.18,16860.60,III(瘦狗)
義隆,2019-03,0.11,-24.21,90004.50,III(瘦狗)
群光,2019-03,0.07,103.48,54018.78,II(問號)
群電,2019-03,0.05,16.52,40198.40,III(瘦狗)
群聯,2019-03,0.37,-10.23,283276.00,III(瘦狗)
葡萄王,2019-03,0.04,-2.21,36815.00,III(瘦狗)
裕融,2019-03,0.01,0,13625.50,III(瘦狗)
達興材料,2019-03,0.04,-2.31,36070.45,III(瘦狗)
鼎翰,2019-03,0.04,4.32,37518.00,III(瘦狗)
鈺齊-KY,2019-03,0.22,32.4,166955.686,III(瘦狗)
頎邦,2019-03,1.29,-1.77,976108.00,IV(金牛)
嘉澤,2019-03,3.74,18.56,2824832.708,IV(金牛)
彰銀,2019-03,0.03,0,23652.90,III(瘦狗)
榮剛,2019-03,0.01,0,12380.80,III(瘦狗)
漢平,2019-03,0.02,48.85,16481.10,II(問號)
漢翔,2019-03,0.02,-73.47,21190.00,III(瘦狗)
碩天,2019-03,0.03,3.78,24679.00,III(瘦狗)
福懋,2019-03,0.01,3.51,9347.20,III(瘦狗)
精華,2019-03,0.02,-24.04,18000.00,III(瘦狗)
網龍,2019-03,0.01,15.78,12474.00,III(瘦狗)
聚陽,2019-03,2.03,18.19,1536408.00,IV(金牛)
遠東新,2019-03,0.19,42.17,146007.75,II(問號)
遠傳,2019-03,0,3.05,6687.00,III(瘦狗)
億豐,2019-03,0.93,11.29,708886.50,IV(金牛)
劍麟,2019-03,0.01,1.97,14855.10,III(瘦狗)
廣隆,2019-03,0.03,61.41,23282.50,II(問號)
廣達,2019-03,0.76,-38.41,578693.60,IV(金牛)
緯軟,2019-03,0.56,-28.68,423547.548,IV(金牛)
緯創,2019-03,0.01,0,9859.20,III(瘦狗)
緯穎,2019-03,0.03,0,23550.00,III(瘦狗)
儒鴻,2019-03,1.66,106.58,1255252.16,I(明星)
臻鼎-KY,2019-03,0.83,752.87,629036.10,I(明星)
興能高,2019-03,0.06,-49.6,47662.50,III(瘦狗)
興富發,2019-03,0.06,6.38,46990.00,III(瘦狗)
錸德,2019-03,0.23,2.25,175928.212,III(瘦狗)
優群,2019-03,0.04,0,36945.60,III(瘦狗)
環球晶圓,2019-03,0.33,-23.41,254520.00,III(瘦狗)
聯合,2019-03,0.03,18.49,24640.407,III(瘦狗)
聯亞,2019-03,0.01,-68.89,13560.00,III(瘦狗)
聯茂,2019-03,1.12,67.4,847152.00,I(明星)
聯發科,2019-03,2.36,54.13,1786242.133,I(明星)
聯詠,2019-03,3.98,60.16,3010788.00,I(明星)
鴻海,2019-03,0.37,0.94,286282.354,III(瘦狗)
鴻碩,2019-03,0.03,0,22968.333,III(瘦狗)
豐泰,2019-03,0.37,26.8,279476.00,III(瘦狗)
豐祥-KY,2019-03,0.01,-87.28,13534.00,III(瘦狗)
雙鴻,2019-03,1.21,-9.37,915697.50,IV(金牛)
燿華,2019-03,0.03,0,24252.80,III(瘦狗)
穩懋,2019-03,1.38,647.74,1042912.50,I(明星)
藥華藥,2019-03,0.04,-16.23,35742.00,III(瘦狗)
譜瑞-KY,2019-03,2.25,-37.44,1703515.00,IV(金牛)
麗豐-KY,2019-03,0.05,-9.19,44175.00,III(瘦狗)
寶一,2019-03,0.01,0,9622.90,III(瘦狗)
寶雅,2019-03,0.02,168.45,21141.00,II(問號)
寶齡富錦,2019-03,0.08,549,67821.00,II(問號)
F-金可,2019-02,0,1.48,16644.00,III(瘦狗)
F-泰鼎,2019-02,0.1,-14.15,57545.70,III(瘦狗)
M31,2019-02,0.3,0,242165.00,III(瘦狗)
VHQ-KY,2019-02,0.7,-1.14,511335.00,IV(金牛)
力山,2019-02,0.4,-28.7,298959.00,III(瘦狗)
力旺,2019-02,1.4,-37.73,1018147.50,IV(金牛)
上海商銀,2019-02,0.2,-89.24,110313.70,III(瘦狗)
上銀,2019-02,0.3,31.62,201870.952,II(問號)
上緯投控,2019-02,0,0,28710.00,III(瘦狗)
大中,2019-02,0,0,27116.50,III(瘦狗)
大立光,2019-02,7.6,40.19,5485917.68,I(明星)
大成鋼,2019-02,0,-95.44,11440.00,III(瘦狗)
大江,2019-02,1.5,13.96,1098410.481,IV(金牛)
大車隊,2019-02,0,5.63,22473.36,III(瘦狗)
川湖,2019-02,0.1,-18.06,83750.00,III(瘦狗)
中信金,2019-02,0.7,2.95,511101.596,IV(金牛)
中美晶,2019-02,0,0,4998.00,III(瘦狗)
中租-KY,2019-02,0,-94.45,7623.00,III(瘦狗)
中華電,2019-02,0.9,-31.05,661174.40,IV(金牛)
中裕,2019-02,0.3,66.07,180774.00,II(問號)
中鼎,2019-02,0.1,2.55,39234.80,III(瘦狗)
中鋼,2019-02,0.1,-76.8,65713.50,III(瘦狗)
元大台灣50單日反向1倍基金,2019-02,0.2,-4.41,135454.80,III(瘦狗)
元太,2019-02,0.6,-27.62,409317.00,IV(金牛)
友達,2019-02,0,-4.62,30645.00,III(瘦狗)
太醫,2019-02,0,2.11,8878.00,III(瘦狗)
日友,2019-02,0.4,-15.52,274664.00,III(瘦狗)
日月光投控,2019-02,0,4.83,21267.496,III(瘦狗)
世芯-KY,2019-02,0.1,-36.44,37973.50,III(瘦狗)
世界,2019-02,1.3,51.92,947261.70,I(明星)
台中銀,2019-02,0,1.42,13419.905,III(瘦狗)
台化,2019-02,0.4,-30.05,325748.13,III(瘦狗)
台半,2019-02,0.1,-39.13,47175.00,III(瘦狗)
台光電,2019-02,0.9,50.11,633841.60,I(明星)
台泥,2019-02,1.3,-15.16,909394.33,IV(金牛)
台肥,2019-02,0,3.8,17235.00,III(瘦狗)
台表科,2019-02,0.7,44.34,540162.60,I(明星)
台郡,2019-02,0.2,0,115341.70,III(瘦狗)
台塑,2019-02,1.4,-2.78,1012873.943,IV(金牛)
台塑化,2019-02,0.6,58.22,407076.63,I(明星)
台達電,2019-02,2.7,-11.85,1959409.234,IV(金牛)
